timestamp,model,prompt,brand,mentioned,position,rank,sentiment,reason,sources
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Allnii,0,,,,,"zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Konvy,1,242.0,1.0,positive,"สินค้าหลากหลาย, ของแท้ 100%, โปรโมชั่นดี","zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,EVEANDBOY,1,1656.0,5.0,positive,สินค้าหลากหลาย ตอบโจทย์หลายกลุ่ม,"zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Beautrium,1,675.0,3.0,positive,"สินค้าหลากหลาย โดยเฉพาะแบรนด์เกาหลี, โปรโมชั่นดี","zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Sephora,1,460.0,2.0,positive,"แบรนด์ดังระดับโลก, เคาน์เตอร์แบรนด์ต่างประเทศ, สะดวกสบาย","zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Watsons,1,1201.0,4.0,positive,"ราคาไม่แพง, โปรโมชั่นบ่อย, สินค้าดรักสโตร์","zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Boots,0,,,,,"zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Lazada,1,1896.0,7.0,positive,"มี LazMall/LazBEAUTY, ของแท้, โปรโมชั่นพิเศษ","zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:48,gemini-2.5-flash,แพลตฟอร์มไหนเหมาะกับซื้อเครื่องสำอางออนไลน์มากที่สุด?,Shopee,1,1875.0,6.0,positive,"มี Shopee Mall/Shopee Beauty Club, ของแท้, โปรโมชั่นพิเศษ","zipeventapp.com, wongnai.com, proen.co.th, beauticool.com, youtube.com, you.co, punpro.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Allnii,0,,,,,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
2026-03-23 15:53:28,gemini-2.5-flash,ซื้อเครื่องสำอางออนไลน์จากเว็บไหนดี?,Konvy,1,202.0,1.0,positive,สินค้าหลากหลาย รับประกันของแท้ มีโปรโมชั่นและรีวิว,"konvy.com, ladymonsters.in.th, zipeventapp.com, beauticool.com, wongnai.com, sephora.co.th, tops.co.th, you.co, jeban.com, caretobeauty.com, pantip.com"
